Name,year,Temp_13,Windspeed_13,dew_point_13,adiabatic_saturation_13,soil_moisture_13,max_air_temp_13,min_air_temp_13,max_windspeed_13,min_windspeed_13,total_precip_13,h_i_rad_intensity_13
Abraham Lincoln Birthplace National Historical Park,2012,14.82,1.7,9.64,12.23,0.67,41.23,-13.56,7.27,0.03,5.27,332.63
Adams National Historical Park,2012,10.79,0.63,6.73,8.76,0.62,35.34,-14.68,2.62,0.01,0.0,313.15
African Burial Ground National Monument,2012,13.48,4.09,9.71,11.59,0.62,31.75,-6.57,20.23,0.05,0.0,325.52
Agate Fossil Beds National Monument,2012,11.4,3.64,-1.09,5.15,0.34,40.36,-14.44,13.68,0.04,0.0,297.77
Alibates Flint Quarries National Monument,2012,16.66,3.55,2.25,9.46,0.32,42.87,-8.23,12.16,0.03,0.0,319.53
Allegheny Portage Railroad National Historic Site,2012,10.36,0.27,6.36,8.36,0.66,34.15,-14.42,2.18,0.0,5.27,317.5
Amistad National Recreation Area,2012,22.33,3.39,9.95,16.14,0.38,42.94,-1.16,11.56,0.02,0.0,360.69
Andersonville National Historic Site,2012,19.43,1.81,13.46,16.44,0.45,41.63,-6.35,7.11,0.03,0.0,354.27
Andrew Johnson National Historic Site,2012,14.12,0.62,9.38,11.75,0.71,38.91,-8.94,2.59,0.02,5.27,330.98
Aniakchak National Monument and Preserve,2012,-0.88,4.18,-2.34,-1.61,0.82,21.06,-28.91,14.83,0.03,5.27,286.53
Antietam National Battlefield,2012,12.83,1.73,8.32,10.58,0.67,39.65,-11.39,7.57,0.04,5.27,326.98
Apostle Islands National Lakeshore,2012,7.62,3.67,4.26,5.94,0.56,27.26,-14.8,12.27,0.04,0.0,307.05
Appomattox Court House National Historical Park,2012,14.43,0.11,9.06,11.75,0.66,40.19,-7.29,1.19,0.0,0.0,334.52
Arches National Park,2012,11.9,2.37,-3.39,4.26,0.34,37.21,-14.1,11.5,0.02,0.0,289.08
Arkansas Post National Memorial,2012,18.5,2.31,12.78,15.64,0.73,42.5,-5.53,9.19,0.07,5.27,350.75
Assateague Island National Seashore,2012,15.68,4.86,12.05,13.87,0.77,31.12,-2.21,19.78,0.04,5.27,336.8
Aztec Ruins National Monument,2012,11.21,2.33,-3.01,4.1,0.36,35.9,-19.66,10.3,0.04,0.0,283.58
Badlands National Park,2012,12.53,3.32,0.69,6.61,0.43,43.76,-18.59,13.45,0.04,0.0,309.24
Bandelier National Monument,2012,9.01,1.43,-3.27,2.87,0.38,34.88,-18.9,6.18,0.06,0.0,287.95
Bent's Old Fort National Historic Site,2012,15.1,3.29,-0.2,7.45,0.32,43.36,-9.1,13.17,0.05,0.0,301.41
Bering Land Bridge National Preserve,2012,-7.24,2.91,-8.63,-7.93,0.73,20.34,-42.69,11.89,0.09,0.0,247.09
Big Bend National Park,2012,20.73,2.26,5.19,12.96,0.32,41.8,-2.6,9.26,0.02,0.0,339.91
Big Cypress National Preserve,2012,23.98,2.54,19.1,21.54,0.41,33.81,1.58,9.41,0.02,5.27,397.41
Big Hole National Battlefield,2012,2.82,0.39,-2.87,-0.02,0.48,30.56,-23.02,1.54,0.01,0.0,265.7
Big South Fork National River and Recreation Area,2012,14.09,0.16,9.48,11.79,0.66,39.52,-9.39,1.23,0.0,5.27,331.27
Big Thicket National Preserve,2012,20.94,0.11,15.78,18.36,0.71,41.9,-3.56,1.07,0.0,5.27,371.24
Bighorn Canyon National Recreation Area,2012,7.37,2.57,-2.91,2.23,0.37,35.84,-19.11,10.6,0.02,0.0,298.76
Black Canyon Of The Gunnison National Park,2012,5.94,0.79,-4.99,0.48,0.42,32.58,-22.13,3.2,0.01,0.0,270.94
Blue Ridge Parkway,2012,13.3,0.36,8.94,11.12,0.73,38.07,-9.86,1.67,0.01,5.27,322.62
