Name,latitude,longitude,city,postal
Abraham Lincoln Birthplace National Historical Park,37.5858662,-85.67330523,Hodgenville,42748
Acadia National Park,44.409286,-68.247501,Bar Harbor,04609
Adams National Historical Park,42.2553961,-71.01160356,Quincy,02169
African American Civil War Memorial,38.9166,-77.026,Washington,20242
African Burial Ground National Monument,40.71452681,-74.00447358,New York,10005
Agate Fossil Beds National Monument,42.42170419,-103.753886,Harrison,69346
Ala Kahakai National Historic Trail,19.144668109,-155.890734294,Kailua-Kona,96740
Alagnak Wild River,59.05180188,-156.112002,King Salmon,99613
Alaska Public Lands,61.2188,-149.894536,Anchorage,99501
Alcatraz Island,37.82676234,-122.4230206,San Francisco,94123
Aleutian Islands World War II National Historic Area,53.9143,-166.5197,Anchorage,99501
Alibates Flint Quarries National Monument,35.5819662,-101.6717008,Fritch,79036
Allegheny Portage Railroad National Historic Site,40.42977467,-78.57431622,Gallitzin,16641
Amache National Historic Site,38.04962,-102.32903,Granada,81041
American Memorial Park,15.21680033,145.7231096,Saipan,96950
Amistad National Recreation Area,29.53539777,-101.075821,Del Rio,78840
Anacostia Park,38.8782,-76.9703,Washington,20020
Andersonville National Historic Site,32.19831758,-84.12988898,Andersonville,31711
Andrew Johnson National Historic Site,36.15624509,-82.83709021,Greeneville,37743
Aniakchak National Monument & Preserve,56.85317675,-157.5544362,KIng Salmon,99613
Antietam National Battlefield,39.46763452,-77.73828017,Sharpsburg,21782
Apostle Islands National Lakeshore,46.96240467,-90.66045665,Bayfield,54814
Appalachian National Scenic Trail,40.41029575,-76.4337548,Harpers Ferry,25425
Appomattox Court House National Historical Park,37.38022164,-78.79856982,Appomattox,24522
Arches National Park,38.72261844,-109.5863666,Moab,84532
Arkansas Post National Memorial,34.00389998,-91.30837178,Gillett,72055
"Arlington House, The Robert E. Lee Memorial",38.8822021484,-77.0734786987,McLean,22101
Assateague Island National Seashore,38.05593172,-75.24524611,Berlin,21811
Aztec Ruins National Monument,36.83682216,-107.9999245,Aztec,87410
