T2M,WS2M,T2MDEW,T2MWET,GWETTOP,T2M_MAX,T2M_MIN,WS2M_MAX,WS2M_MIN,PRECTOTCORR,ALLSKY_SFC_LW_DWN,yearMonth,year,month,latitude,longitude,elevation
-1.24,0.98,-3.61,-2.42,0.8,9.01,-14.68,2.1,0.08,0.0,271.34,201201,2012,01,42.309055268,-70.93941138,71.06
0.13,1.07,-2.68,-1.27,0.79,10.01,-11.2,2.62,0.06,0.0,265.93,201202,2012,02,42.309055268,-70.93941138,71.06
5.66,0.92,2.49,4.08,0.77,23.9,-9.49,2.19,0.1,0.0,292.07,201203,2012,03,42.309055268,-70.93941138,71.06
9.04,0.62,3.8,6.41,0.69,27.65,-1.76,1.34,0.03,0.0,294.21,201204,2012,04,42.309055268,-70.93941138,71.06
15.37,0.36,11.93,13.65,0.69,28.05,5.74,1.02,0.04,5.27,343.03,201205,2012,05,42.309055268,-70.93941138,71.06
18.02,0.45,13.92,15.97,0.64,32.04,8.87,1.16,0.05,5.27,356.42,201206,2012,06,42.309055268,-70.93941138,71.06
23.51,0.34,16.66,20.08,0.42,35.34,13.88,0.91,0.01,0.0,380.52,201207,2012,07,42.309055268,-70.93941138,71.06
22.74,0.34,16.73,19.74,0.45,33.54,12.94,0.91,0.02,5.27,380.59,201208,2012,08,42.309055268,-70.93941138,71.06
17.4,0.47,12.15,14.77,0.45,29.26,6.77,1.2,0.06,5.27,350.12,201209,2012,09,42.309055268,-70.93941138,71.06
12.62,0.55,9.03,10.83,0.52,24.18,-0.51,2.11,0.05,5.27,331.38,201210,2012,10,42.309055268,-70.93941138,71.06
3.73,0.72,0.38,2.05,0.59,17.58,-4.02,1.54,0.03,0.0,292.62,201211,2012,11,42.309055268,-70.93941138,71.06
1.9,0.77,-0.48,0.72,0.64,14.38,-8.84,1.95,0.06,5.27,290.99,201212,2012,12,42.309055268,-70.93941138,71.06
10.79,0.63,6.73,8.76,0.62,35.34,-14.68,2.62,0.01,0.0,321.04,201213,2012,13,42.309055268,-70.93941138,71.06
-2.51,1.02,-5.03,-3.77,0.7,14.86,-18.96,3.02,0.02,0.0,266.58,201301,2013,01,42.309055268,-70.93941138,71.06
-2.31,1.3,-5.14,-3.73,0.73,8.12,-13.68,3.38,0.08,5.27,268.43,201302,2013,02,42.309055268,-70.93941138,71.06
1.03,1.12,-1.92,-0.45,0.77,12.37,-9.7,2.47,0.05,0.0,279.0,201303,2013,03,42.309055268,-70.93941138,71.06
7.38,0.68,2.65,5.02,0.73,20.99,-3.42,1.6,0.02,0.0,289.15,201304,2013,04,42.309055268,-70.93941138,71.06
13.8,0.45,9.58,11.69,0.66,30.1,2.48,1.16,0.04,5.27,327.56,201305,2013,05,42.309055268,-70.93941138,71.06
19.04,0.39,15.38,17.21,0.7,29.27,9.73,0.95,0.03,5.27,362.8,201306,2013,06,42.309055268,-70.93941138,71.06
23.46,0.34,20.13,21.8,0.61,32.26,15.03,0.84,0.02,5.27,397.33,201307,2013,07,42.309055268,-70.93941138,71.06
20.71,0.39,15.33,18.02,0.47,31.27,11.96,0.88,0.03,0.0,364.12,201308,2013,08,42.309055268,-70.93941138,71.06
16.77,0.47,11.69,14.23,0.48,33.52,5.73,1.13,0.03,5.27,344.05,201309,2013,09,42.309055268,-70.93941138,71.06
11.86,0.55,7.4,9.63,0.44,25.88,-0.41,1.09,0.05,0.0,319.41,201310,2013,10,42.309055268,-70.93941138,71.06
3.98,0.72,-1.41,1.29,0.45,20.5,-8.66,1.54,0.04,0.0,286.09,201311,2013,11,42.309055268,-70.93941138,71.06
-1.41,0.71,-3.29,-2.35,0.62,13.18,-18.76,1.52,0.1,5.27,281.23,201312,2013,12,42.309055268,-70.93941138,71.06
9.39,0.67,5.51,7.45,0.61,33.52,-18.96,3.38,0.02,5.27,315.81,201313,2013,13,42.309055268,-70.93941138,71.06
-4.74,1.05,-7.17,-5.95,0.71,12.85,-23.47,2.1,0.06,5.27,261.05,201401,2014,01,42.309055268,-70.93941138,71.06
-4.67,1.13,-6.24,-5.46,0.75,7.83,-19.58,2.66,0.09,5.27,261.05,201402,2014,02,42.309055268,-70.93941138,71.06
-1.41,1.04,-5.16,-3.28,0.77,10.78,-15.01,2.43,0.03,5.27,264.03,201403,2014,03,42.309055268,-70.93941138,71.06
6.69,0.66,3.2,4.94,0.79,20.08,-5.11,1.38,0.05,0.0,292.06,201404,2014,04,42.309055268,-70.93941138,71.06
13.52,0.41,9.63,11.58,0.73,25.39,3.99,1.05,0.01,0.0,331.31,201405,2014,05,42.309055268,-70.93941138,71.06
18.78,0.38,14.27,16.52,0.62,29.28,7.26,0.98,0.04,0.0,349.68,201406,2014,06,42.309055268,-70.93941138,71.06
22.1,0.37,17.12,19.62,0.52,31.01,13.73,1.13,0.02,5.27,379.16,201407,2014,07,42.309055268,-70.93941138,71.06
20.68,0.39,14.88,17.78,0.44,31.94,11.51,1.09,0.04,0.0,362.63,201408,2014,08,42.309055268,-70.93941138,71.06
18.02,0.44,12.15,15.08,0.38,31.92,5.69,1.05,0.02,0.0,348.05,201409,2014,09,42.309055268,-70.93941138,71.06
12.45,0.6,8.77,10.61,0.5,25.81,1.77,1.75,0.1,5.27,333.06,201410,2014,10,42.309055268,-70.93941138,71.06
3.59,0.73,0.39,1.99,0.64,17.31,-12.38,1.51,0.1,5.27,296.06,201411,2014,11,42.309055268,-70.93941138,71.06
1.43,0.71,-0.49,0.47,0.77,13.41,-8.24,1.61,0.18,5.27,294.91,201412,2014,12,42.309055268,-70.93941138,71.06
8.95,0.66,5.18,7.06,0.63,31.94,-23.47,2.66,0.01,5.27,314.78,201413,2014,13,42.309055268,-70.93941138,71.06
-5.64,1.12,-7.66,-6.65,0.79,6.5,-20.27,2.77,0.05,5.27,258.98,201501,2015,01,42.309055268,-70.93941138,71.06
-10.22,1.27,-10.72,-10.47,0.79,0.36,-25.92,3.05,0.1,5.27,252.31,201502,2015,02,42.309055268,-70.93941138,71.06
-1.99,1.02,-4.53,-3.26,0.83,10.68,-19.45,2.52,0.05,0.0,259.98,201503,2015,03,42.309055268,-70.93941138,71.06
6.96,0.62,3.28,5.12,0.8,19.05,-3.59,1.83,0.05,0.0,295.0,201504,2015,04,42.309055268,-70.93941138,71.06
15.67,0.41,10.58,13.13,0.67,27.2,3.96,0.93,0.03,0.0,333.95,201505,2015,05,42.309055268,-70.93941138,71.06
17.44,0.4,13.47,15.45,0.63,27.65,6.09,1.2,0.03,5.27,353.56,201506,2015,06,42.309055268,-70.93941138,71.06
22.33,0.34,17.09,19.71,0.52,33.85,12.34,0.8,0.02,0.0,377.0,201507,2015,07,42.309055268,-70.93941138,71.06
23.12,0.34,16.34,19.73,0.39,34.33,14.17,0.81,0.02,0.0,378.32,201508,2015,08,42.309055268,-70.93941138,71.06
20.23,0.47,13.8,17.02,0.38,34.44,7.42,1.3,0.04,5.27,353.75,201509,2015,09,42.309055268,-70.93941138,71.06
10.69,0.64,5.9,8.3,0.5,23.33,-3.04,1.2,0.02,0.0,314.96,201510,2015,10,42.309055268,-70.93941138,71.06
7.14,0.62,3.75,5.44,0.55,21.89,-4.41,1.23,0.02,0.0,299.76,201511,2015,11,42.309055268,-70.93941138,71.06
5.23,0.62,3.15,4.19,0.63,19.4,-4.52,1.26,0.06,5.27,303.13,201512,2015,12,42.309055268,-70.93941138,71.06
9.37,0.65,5.47,7.42,0.62,34.44,-25.92,3.05,0.02,0.0,315.46,201513,2015,13,42.309055268,-70.93941138,71.06
-2.17,1.09,-4.7,-3.43,0.72,12.8,-15.59,2.2,0.11,0.0,265.93,201601,2016,01,42.309055268,-70.93941138,71.06
-0.86,1.22,-3.27,-2.06,0.76,13.19,-23.06,2.48,0.15,5.27,271.17,201602,2016,02,42.309055268,-70.93941138,71.06
3.71,0.96,0.39,2.05,0.77,18.86,-7.2,2.38,0.02,5.27,284.31,201603,2016,03,42.309055268,-70.93941138,71.06
6.53,0.7,2.05,4.29,0.75,22.26,-7.95,2.11,0.05,0.0,284.45,201604,2016,04,42.309055268,-70.93941138,71.06
13.24,0.44,9.03,11.13,0.68,31.61,2.26,1.11,0.02,0.0,327.72,201605,2016,05,42.309055268,-70.93941138,71.06
19.15,0.42,12.6,15.87,0.51,30.94,9.93,0.96,0.02,0.0,346.32,201606,2016,06,42.309055268,-70.93941138,71.06
24.03,0.34,15.81,19.92,0.36,34.71,14.1,0.82,0.02,0.0,381.78,201607,2016,07,42.309055268,-70.93941138,71.06
24.05,0.38,16.28,20.16,0.36,35.74,13.15,0.97,0.09,0.0,378.26,201608,2016,08,42.309055268,-70.93941138,71.06
19.2,0.48,12.76,15.98,0.36,33.48,5.57,1.2,0.02,0.0,359.48,201609,2016,09,42.309055268,-70.93941138,71.06
11.76,0.61,7.66,9.72,0.51,24.9,-0.99,1.46,0.04,5.27,326.66,201610,2016,10,42.309055268,-70.93941138,71.06
5.92,0.66,2.58,4.26,0.59,19.43,-2.67,1.25,0.06,0.0,302.12,201611,2016,11,42.309055268,-70.93941138,71.06
-0.51,0.8,-3.18,-1.85,0.68,13.59,-16.29,1.65,0.14,5.27,272.61,201612,2016,12,42.309055268,-70.93941138,71.06
10.37,0.67,5.69,8.04,0.59,35.74,-23.06,2.48,0.02,0.0,316.91,201613,2016,13,42.309055268,-70.93941138,71.06
-0.34,1.05,-2.59,-1.46,0.74,13.67,-15.62,2.55,0.2,5.27,277.15,201701,2017,01,42.309055268,-70.93941138,71.06
-0.52,1.16,-2.39,-1.45,0.77,17.79,-15.29,2.93,0.08,5.27,272.2,201702,2017,02,42.309055268,-70.93941138,71.06
