Name,Location,Area
Aleutian World War II National Historic Area (affiliated area),Alaska,134.94
Catoctin Mountain Park,Maryland,5890.92
Constitution Gardens,District of Columbia,39.23
Fort Washington Park,Maryland,345.05
Greenbelt Park,Maryland,1175.99
Historic Camden Revolutionary War Site (affiliated area)[18],South Carolina,107.0
Ice Age National Scientific Reserve (affiliated area),Wisconsin,32500.0
International Peace Garden (affiliated area),North Dakota/Manitoba,2330.3
Inupiat Heritage Center (affiliated area),Alaska,0.0
"National Capital Parks-East Anacostia Park Baltimore-Washington Parkway Capitol Hill Parks Carter G. Woodson Home National Historic Site (also an official unit) Fort Dupont Park Fort Foote Park Fort Washington Park (also an official unit) Frederick Douglass National Historic Site (also an official unit) Greenbelt Park (also an official unit) Harmony Hall (Fort Washington, Maryland) Kenilworth Park and Aquatic Gardens Mary McLeod Bethune Council House National Historic Site (also an official unit) Oxon Cove Park and Oxon Hill Farm Oxon Run Parkway Piscataway Park (also an official unit) Suitland Parkway",District of Columbia/Maryland,8703.8
National Mall and Memorial Parks (formerly National Capital Parks-Central) African American Civil War Memorial American Veterans Disabled for Life Memorial Belmont-Paul Women's Equality National Monument (also an official unit) Constitution Gardens (also an official unit) District of Columbia War Memorial East Potomac Park Ford's Theatre National Historic Site (also an official unit) Franklin Delano Roosevelt Memorial (also an official unit) George Mason Memorial Thomas Jefferson Memorial (also an official unit) John Ericsson National Memorial Korean War Veterans Memorial (also an official unit) Lincoln Memorial (also an official unit) National Mall Pennsylvania Avenue National Historic Site (also an official unit) Old Post Office Pavilion Ukraine Independence Park (Taras Shevchenko Memorial) United States Navy Memorial (part of Pennsylvania Avenue National Historic Site) Vietnam Veterans Memorial (also an official unit) Washington Monument (also an official unit) West Potomac Park World War I Memorial (also an official unit) World War II Memorial (also an official unit),District of Columbia,155.84
Piscataway Park,Maryland,4616.31
Prince William Forest Park,Virginia,16059.05
Rock Creek Park Dumbarton Oaks Park Battleground National Cemetery Meridian Hill Park Old Stone House Peirce Mill (part of Rock Creek Park) Rock Creek and Potomac Parkway,District of Columbia,1754.7
Roosevelt Campobello International Park (affiliated area),New Brunswick,2721.5
White House/President's Park,District of Columbia,18.07
Wing Luke Museum of the Asian Pacific American Experience (affiliated area)[20],Washington,0.0
Wolf Trap National Park for the Performing Arts,Virginia,130.28
Appalachian Trail (official unit),Maine - Georgia,243542.49
Natchez Trace Trail (official unit),Mississippi - Tennessee,10995.0
Potomac Heritage National Scenic Trail (official unit),"Virginia - Maryland - Pennsylvania - Washington, D.C.",0.0
Alagnak Wild River,Alaska,30664.79
Big South Fork National River and Recreation Area*,"Kentucky, Tennessee",123698.72
Bluestone National Scenic River,West Virginia,4309.51
Buffalo National River*,Arkansas,94300.82
Great Egg Harbor National Scenic and Recreational River,New Jersey,43311.42
Middle Delaware National Scenic River,"New Jersey, Pennsylvania",1973.33
Mississippi National River and Recreation Area*,Minnesota,53775.0
Missouri National Recreational River,"Nebraska, South Dakota",48456.55
Niobrara National Scenic River,Nebraska,29088.57
Obed Wild and Scenic River,Tennessee,5489.85
Ozark National Scenic Riverways*,Missouri,80784.3
Rio Grande Wild and Scenic River,Texas,13123.39
Saint Croix National Scenic Riverway,"Wisconsin, Minnesota",67464.82
Upper Delaware Scenic and Recreational River,"New York, Pennsylvania",74999.56
Apostle Islands National Lakeshore,Wisconsin,69377.43
Pictured Rocks National Lakeshore,Michigan,73235.97
Sleeping Bear Dunes National Lakeshore,Michigan,71309.91
Assateague Island National Seashore,"Maryland, Virginia",41346.5
Canaveral National Seashore,Florida,57661.69
Cape Cod National Seashore,Massachusetts,43608.39
Cape Hatteras National Seashore,North Carolina,30350.65
Cape Lookout National Seashore,North Carolina,28243.36
Cumberland Island National Seashore,Georgia,36346.83
Fire Island National Seashore,New York,19580.65
Gulf Islands National Seashore,"Florida, Mississippi",138306.64
Padre Island National Seashore,Texas,130434.27
Point Reyes National Seashore,California,71053.38
Amistad National Recreation Area,Texas,62945.15
Bighorn Canyon National Recreation Area,"Montana, Wyoming",120296.22
Boston Harbor Islands National Recreation Area,Massachusetts,2230.71
Chattahoochee River National Recreation Area,Georgia,12416.75
Chickasaw National Recreation Area,Oklahoma,9898.63
Curecanti National Recreation Area,Colorado,43590.56
Delaware Water Gap National Recreation Area Middle Delaware National Scenic River,"New Jersey, Pennsylvania",68708.88
Gateway National Recreation Area,"New York, New Jersey",26606.63
Gauley River National Recreation Area,West Virginia,11483.44
Glen Canyon National Recreation Area,"Utah, Arizona",1254116.62
Golden Gate National Recreation Area Alcatraz Island Presidio of San Francisco,California,82116.03
Lake Chelan National Recreation Area,Washington,61939.15
Lake Mead National Recreation Area Grand Canyon–Parashant National Monument,"Nevada, Arizona",1495855.53
Lake Meredith National Recreation Area,Texas,44977.63
Lake Roosevelt National Recreation Area,Washington,100390.31
Ross Lake National Recreation Area,Washington,117574.59
Santa Monica Mountains National Recreation Area,California,153121.09
Whiskeytown National Recreation Area,California,42503.25
American Memorial Park (affiliated area),Northern Mariana Islands,133.0
Arkansas Post National Memorial,Arkansas,757.51
"Arlington House, The Robert E. Lee Memorial",Virginia,17.12
Benjamin Franklin National Memorial (affiliated area),Pennsylvania,0.0
Chamizal National Memorial,Texas,54.9
Coronado National Memorial,Arizona,4830.22
De Soto National Memorial,Florida,30.0
Dwight D. Eisenhower Memorial,"Washington, D.C.",3.39
Father Marquette National Memorial (affiliated area),Michigan,52.0
Federal Hall National Memorial,New York,0.45
Flight 93 National Memorial,Pennsylvania,2262.65
Fort Caroline National Memorial,Florida,138.39
Franklin Delano Roosevelt Memorial,"Washington, D.C.",8.14
General Grant National Memorial,New York,0.76
Hamilton Grange National Memorial,New York,1.75
Johnstown Flood National Memorial,Pennsylvania,177.76
Korean War Veterans Memorial,"Washington, D.C.",1.56
Lincoln Boyhood National Memorial,Indiana,199.96
Lincoln Memorial,"Washington, D.C.",7.29
Lyndon Baines Johnson Memorial Grove on the Potomac,"Washington, D.C.",17.0
"Martin Luther King, Jr. Memorial","Washington, D.C.",2.74
Mount Rushmore National Memorial,South Dakota,1278.45
Oklahoma City National Memorial (affiliated area),Oklahoma,6.24
Pearl Harbor National Memorial,Hawaii,21.64
Perry's Victory and International Peace Memorial,Ohio,25.38
Port Chicago Naval Magazine National Memorial,California,5.0
Red Hill Patrick Henry National Memorial (affiliated area),Virginia,1000.0
Roger Williams National Memorial,Rhode Island,4.56
Thaddeus Kosciuszko National Memorial,Pennsylvania,0.02
Theodore Roosevelt Island National Memorial,"Washington, D.C.",88.5
Thomas Jefferson Memorial,"Washington, D.C.",18.36
Vietnam Veterans Memorial,"Washington, D.C.",2.18
Washington Monument,"Washington, D.C.",106.01
World War I Memorial,"Washington, D.C.",1.39
World War II Memorial,"Washington, D.C.",8.25
Wright Brothers National Memorial,North Carolina,428.44
Allegheny Portage Railroad National Historic Site,Pennsylvania,1284.27
Andersonville National Historic Site Andersonville National Cemetery,Georgia,515.61
Andrew Johnson National Historic Site Andrew Johnson National Cemetery,Tennessee,16.68
Bent's Old Fort National Historic Site,Colorado,798.54
Boston African American National Historic Site,Massachusetts,0.59
Carl Sandburg Home National Historic Site,North Carolina,268.49
Carter G. Woodson Home National Historic Site,"Washington, D.C.",0.15
Charles Pinckney National Historic Site,South Carolina,28.45
Chicago Portage National Historic Site (affiliated area),Illinois,91.2
Chimney Rock National Historic Site (affiliated area),Nebraska,83.36
Christiansted National Historic Site,U.S. Virgin Islands,27.15
Clara Barton National Historic Site,Maryland,8.59
Edgar Allan Poe National Historic Site,Pennsylvania,0.52
Eisenhower National Historic Site,Pennsylvania,690.46
Eleanor Roosevelt National Historic Site,New York,180.5
Eugene O'Neill National Historic Site,California,13.19
Fallen Timbers Battlefield and Fort Miamis National Historic Site (affiliated area),Ohio,185.0
First Ladies National Historic Site,Ohio,0.46
Ford's Theatre National Historic Site,"Washington, D.C.",0.3
Fort Bowie National Historic Site,Arizona,999.45
Fort Davis National Historic Site,Texas,523.0
Fort Laramie National Historic Site,Wyoming,873.11
Fort Larned National Historic Site,Kansas,718.39
Fort Point National Historic Site,California,29.0
Fort Raleigh National Historic Site,North Carolina,515.73
Fort Scott National Historic Site,Kansas,20.11
Fort Smith National Historic Site,"Arkansas, Oklahoma",75.0
Fort Union Trading Post National Historic Site,"Montana, North Dakota",440.14
Fort Vancouver National Historic Site Fort Vancouver McLoughlin House Vancouver National Historic Reserve,"Washington, Oregon",208.39
Frederick Douglass National Historic Site,"Washington, D.C.",8.57
Frederick Law Olmsted National Historic Site,Massachusetts,7.21
